description,duration
Sleep stage W,30630.0
Sleep stage 1,120.0
Sleep stage 2,390.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,150.0
Sleep stage 4,30.0
Sleep stage 3,60.0
Sleep stage 4,60.0
Sleep stage 3,30.0
Sleep stage 4,120.0
Sleep stage 3,30.0
Sleep stage 4,120.0
Sleep stage W,30.0
Sleep stage 3,60.0
Sleep stage 2,60.0
Sleep stage 3,120.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 4,120.0
Sleep stage 2,210.0
Sleep stage 3,30.0
Sleep stage 2,60.0
Sleep stage 3,120.0
Sleep stage 1,30.0
Sleep stage 2,150.0
Sleep stage 3,60.0
Sleep stage 2,30.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,120.0
Sleep stage 4,150.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,60.0
Sleep stage 4,30.0
Sleep stage 3,90.0
Sleep stage 4,1890.0
Sleep stage 1,30.0
Sleep stage 3,210.0
Sleep stage 2,60.0
Sleep stage 3,90.0
Sleep stage 2,150.0
Sleep stage 3,30.0
Sleep stage R,870.0
Sleep stage 1,180.0
Sleep stage 2,240.0
Sleep stage 3,30.0
Sleep stage 1,120.0
Sleep stage 2,90.0
Sleep stage 1,30.0
Sleep stage 2,930.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,60.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 2,150.0
Sleep stage 3,60.0
Sleep stage 4,90.0
Sleep stage 3,60.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 4,60.0
Sleep stage 3,60.0
Sleep stage 4,180.0
Sleep stage 3,60.0
Sleep stage 4,30.0
Sleep stage 3,30.0
Sleep stage 4,270.0
Sleep stage 1,30.0
Sleep stage 2,60.0
Sleep stage 1,30.0
Sleep stage 2,210.0
Sleep stage 1,30.0
Sleep stage 2,60.0
Sleep stage 1,30.0
Sleep stage 2,180.0
Sleep stage R,870.0
Sleep stage 2,30.0
Sleep stage 1,60.0
Sleep stage W,30.0
Sleep stage 1,120.0
Sleep stage 2,870.0
Sleep stage 1,30.0
Sleep stage 2,30.0
Sleep stage 1,30.0
Sleep stage 2,300.0
Sleep stage 3,30.0
Sleep stage 2,390.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,180.0
Sleep stage 4,90.0
Sleep stage 3,30.0
Sleep stage 2,210.0
Sleep stage 3,60.0
Sleep stage 2,30.0
Sleep stage 4,30.0
Sleep stage 3,180.0
Sleep stage 4,60.0
Sleep stage 3,60.0
Sleep stage 4,60.0
Sleep stage 3,120.0
Sleep stage 2,120.0
Sleep stage 3,30.0
Sleep stage 4,30.0
Sleep stage 2,30.0
Sleep stage R,240.0
Sleep stage 1,30.0
Sleep stage R,510.0
Sleep stage W,30.0
Sleep stage 1,120.0
Sleep stage W,480.0
Sleep stage 1,90.0
Sleep stage W,30.0
Sleep stage 1,120.0
Sleep stage 2,690.0
Sleep stage W,60.0
Sleep stage 1,30.0
Sleep stage 2,990.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,90.0
Sleep stage 2,120.0
Sleep stage 3,60.0
Sleep stage 2,60.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,30.0
Sleep stage 2,30.0
Sleep stage 3,120.0
Sleep stage 2,210.0
Sleep stage 3,30.0
Sleep stage 2,120.0
Sleep stage 1,60.0
Sleep stage R,990.0
Sleep stage W,30.0
Sleep stage 1,150.0
Sleep stage R,270.0
Sleep stage W,510.0
Sleep stage 1,90.0
Sleep stage W,300.0
Sleep stage 1,30.0
Sleep stage W,540.0
Sleep stage 1,150.0
Sleep stage W,27240.0
